Name	Summary	Owner
python-py	Library with cross-python path, ini-parsing, io, code, log facilities	mos-dat
python-pycadf	DMTF Cloud Audit (CADF) data model	mos-dat
python-pylibmc	Memcached client for Python	mos-dat
python-pymemcache	A comprehensive, fast, pure Python memcached client	mos-dat
python-pymongo	Python driver for MongoDB	mos-dat
python-pypcap	Simplified object-oriented Python extension module for libpcap	mos-dat
python-pyscss	A Scss compiler for Python	mos-dat
python-pyudev	A libudev binding	mos-dat
python-qpid	Python client library for AMQP	mos-dat
python-qpid-qmf	Python QMF library for Apache Qpid	mos-dat
python-rabbit	A Pythonic interface to the RabbitMQ Management HTTP API	mos-dat
python-repoze-lru	A tiny LRU cache implementation and decorator	mos-dat
python-requests	HTTP library, written in Python, for human beings	mos-dat
python-retrying	General-purpose retrying library in Python.	mos-dat
python-rfc3986	rfc3986	mos-dat
python-rhsm	A Python library to communicate with a Red Hat Unified Entitlement Platform	mos-dat
python-routes	Rails-like routes for Python	mos-dat
python-routes1.12	Rails-like routes for Python	mos-dat
python-rtslib-fb	Python library for configuring the Linux kernel-based multiprotocol SCSI target (LIO)	mos-dat
python-saharaclient	Python saharaclient	mos-dat
python-saslwrapper	Python bindings for saslwrapper.	?
python-seqdiag	seqdiag generate sequence-diagram image file from spec-text file.	
python-setuptools	A collection of enhancements to the python distutils	mos-dat
python-simplegeneric	Simple generic functions (similar to Python's own len(), pickle.dump(), etc.)	mos-dat
python-simplejson	Simple, fast, extensible JSON encoder/decoder for Python	mos-dat
python-singledispatch	This library brings functools.singledispatch from Python 3.4 to Python 2.6-3.3	mos-dat
python-six	Python 2 and 3 compatibility utilities	mos-dat
python-sphinx10	Python documentation generator	mos-dat
python-sphinx10-doc	Documentation for python-sphinx10	mos-dat
python-sqlalchemy	Modular and flexible ORM library for python	mos-dat
python-sqlalchemy	Modular and flexible ORM library for python	mos-dat
python-stevedore	Manage dynamic plugins for Python applications	mos-dat
python-suds	A python SOAP client	mos-dat
python-swiftclient	Client Library for OpenStack Object Storage API	mos-dat
python-swiftclient-doc	Documentation for OpenStack Object Storage API Client	mos-dat
python-tablib	Format agnostic tabular data library (XLS, JSON, YAML, CSV)	mos-dat
python-taskflow	Taskflow structured state management library	mos-dat
python-testresources	Testresources, a pyunit extension for managing expensive test resources	mos-dat
python-thrift	Python bindings for the Apache Thrift RPC system	mos-dat
python-tooz	Coordination library for distributed systems.	mos-dat
python-troveclient	Client library for OpenStack DBaaS API	mos-dat
python-unittest2	Backport of new unittest features for Python 2.7 to Python 2.4+	mos-dat
python-urwid	Console user interface library	mos-dat
python-versiontools	Smart replacement for plain tuple used in __version__	mos-dat
python-waitress	Waitress WSGI server	mos-dat
python-warlock	Python object model built on top of JSON schema	mos-dat
python-webcolors	A library for working with color names and color value formats defined by the HTML and CSS specifications for use in documents on the Web.	
python-webob	WSGI request and response object	mos-dat
python-webpy	A simple web framework for Python	mos-dat
python-websocket-client	WebSocket client for python	mos-dat
python-websockify	WSGI based adapter for the Websockets protocol	mos-dat
python-webtest	Helper to test WSGI applications	mos-dat
python-werkzeug	The Swiss Army knife of Python web development	mos-dat
python-wsgilog	WSGI logging and event reporting middleware.	
python-wsgiref	WSGI (PEP 333) Reference Library	mos-dat
python-wsme	Web Services Made Easy	mos-dat
python-XStatic	XStatic base package with minimal support code	mos-dat
python-XStatic-Angular	Angular 1.2.1.1 (XStatic packaging standard)	mos-dat
python-XStatic-Angular-Cookies	Angular-Cookies 1.2.1.1 (XStatic packaging standard)	mos-dat
python-XStatic-Angular-Mock	Angular-Mock 1.2.1.1 (XStatic packaging standard)	mos-dat
python-XStatic-Bootstrap-Datepicker	Bootstrap-Datepicker 1.3.1.0 (XStatic packaging standard)	mos-dat
python-XStatic-Bootstrap-SCSS	Bootstrap-SCSS (XStatic packaging standard)	mos-dat
python-XStatic-D3	D3 3.1.6.2 (XStatic packaging standard)	mos-dat
python-XStatic-Font-Awesome	Font-Awesome 4.1.0.0 (XStatic packaging standard)	mos-dat
python-XStatic-Hogan	Hogan 2.0.0.2 (XStatic packaging standard)	mos-dat
python-XStatic-Jasmine	jQuery 1.3.1.1 (XStatic packaging standard)	mos-dat
python-XStatic-jQuery	jQuery 1.10.2 (XStatic packaging standard)	mos-dat
python-XStatic-JQuery-Migrate	jQuery_migrate 1.2.1.1 (XStatic packaging standard)	mos-dat
python-XStatic-jquery-ui	jquery-ui (XStatic packaging standard)	mos-dat
python-XStatic-JQuery.quicksearch	jQuery.quicksearch 1.2.1.1 (XStatic packaging standard)	mos-dat
python-XStatic-JQuery.TableSorter	jQuery.tablesorter 2.14.5.1 (XStatic packaging standard)	mos-dat
python-XStatic-JSEncrypt	QUnit (XStatic packaging standard)	mos-dat
python-XStatic-QUnit	QUnit (XStatic packaging standard)	mos-dat
python-XStatic-Rickshaw	Rickshaw (XStatic packaging standard)	mos-dat
python-XStatic-Spin	Spin (XStatic packaging standard)	mos-dat
python-yaql	Full control of form rendering in the templates	mos-dat
python-zmq	Software library for fast, message-based applications	mos-dat
pyxattr	Extended attributes library wrapper for Python	mos-dat
pyxf86config	Python wrappers for libxf86config	
PyYAML	YAML parser and emitter for Python	mos-dat
qemu	QEMU is a FAST! processor emulator	mos-linux
qemu-common	QEMU common files needed by all QEMU targets	mos-linux
qemu-img	QEMU command line tool for manipulating disk images	mos-linux
qemu-kvm	QEMU system emulator for x86	mos-linux
ql2100-firmware	Firmware for qlogic 2100 devices	
ql2200-firmware	Firmware for qlogic 2200 devices	
ql23xx-firmware	Firmware for qlogic 23xx devices	
ql2400-firmware	Firmware for qlogic 2400 devices	
ql2500-firmware	Firmware for qlogic 2500 devices	
qpid-cpp-client	Libraries for Qpid C++ client applications	?
qpid-qmf	The Qpid Management Framework	?
rabbitmq-server	The RabbitMQ server	mos-linux
rbd-fuse	Ceph fuse-based client	ceph
readahead	Read a preset list of files into memory	
rst2pdf	Tool for transforming reStructuredText to PDF	?
rt61pci-firmware	Firmware for Ralink® RT2561/RT2661 A/B/G network adaptors	
rt73usb-firmware	Firmware for Ralink® RT2571W/RT2671 A/B/G network adaptors	
ruby-augeas	Ruby bindings for Augeas	fuel-library
ruby-extlib	Non-Gem support package for extlib	fuel-library
